Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
166154000,000003CA,false,0,8,00,00,00,00,00,00,00,00,
166154000,00000168,false,0,8,A8,0C,1C,7F,00,00,30,E5,
166154000,00000108,false,0,4,00,00,03,19,00,00,00,00,
166154000,00000125,false,0,4,FF,03,33,0B,00,00,00,00,
166154000,000001F8,false,0,8,01,EF,F0,F6,D3,37,00,00,
166154000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166154000,00000228,false,0,4,40,C0,C0,87,00,00,00,00,
166154000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166154000,00000106,false,0,8,00,E0,00,00,FF,FF,00,E5,
166154000,00000116,false,0,6,00,10,F4,11,87,B3,00,00,
166154000,00000102,false,0,6,16,96,D2,FF,A2,F1,00,00,
166154000,00000102,false,0,6,16,96,D2,FF,A2,FF,00,00,
166164000,0000025A,false,0,8,00,00,00,00,00,00,00,00,
166164000,0000023A,false,0,8,00,38,00,12,00,00,00,00,
166164000,0000021A,false,0,8,FE,36,12,FE,69,05,07,AD,
166164000,0000022A,false,0,8,67,01,5E,1D,00,00,00,00,
166164000,0000027A,false,0,7,30,30,0D,8C,09,15,00,00,
166164000,0000029A,false,0,8,01,36,FE,00,00,00,00,00,
166164000,00000228,false,0,4,40,C0,D0,4A,00,00,00,00,
166164000,0000000E,false,0,8,20,6F,3F,FF,08,FF,C0,55,
166164000,00000116,false,0,6,00,10,F4,11,88,F1,00,00,
166164000,00000258,false,0,8,2F,C8,36,D8,46,05,00,8F,
166164000,0000028C,false,0,8,00,00,00,00,00,00,F0,00,
166164000,000002AC,false,0,8,0D,00,2E,90,00,00,D6,CE,
166164000,00000106,false,0,8,00,00,00,00,FF,FF,00,05,
166164000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166164000,000002BC,false,0,8,3F,40,41,78,7E,64,00,F1,
166164000,000002BC,false,0,8,3F,40,41,78,7E,64,00,00,
166164000,000002CC,false,0,8,AB,7D,00,00,00,00,00,00,
166164000,0000048C,false,0,1,00,00,00,00,00,00,00,00,
166174000,0000059C,false,0,8,01,00,00,00,FE,00,00,09,
166174000,0000020A,false,0,8,00,01,01,82,11,3F,11,11,
166174000,0000079C,false,0,8,03,00,00,00,00,00,00,00,
166174000,00000202,false,0,8,FD,5E,45,9D,C4,09,1E,2D,
166174000,0000000E,false,0,8,20,6F,3F,FF,08,FF,D0,98,
166174000,00000212,false,0,5,D8,00,12,71,00,00,00,00,
166174000,0000000E,false,0,8,20,6F,3F,FF,08,FF,D0,98,
166174000,00000222,false,0,7,00,00,14,96,00,10,70,00,
166174000,0000051A,false,0,8,43,09,00,00,00,00,00,00,
166174000,000002A2,false,0,7,00,00,14,96,00,10,70,00,
166174000,000003A8,false,0,8,30,30,31,00,03,00,00,00,
166174000,00000232,false,0,4,00,24,68,82,00,00,00,00,
166174000,00000308,false,0,8,E9,EB,10,11,B9,30,00,00,
166174000,00000328,false,0,8,8A,8A,8C,02,00,F1,00,0A,
166174000,00000328,false,0,8,8A,8A,8C,02,00,00,00,00,
166174000,00000168,false,0,8,A9,0C,1C,7F,00,00,40,F6,
166174000,000001F8,false,0,8,01,EF,F0,06,D3,47,00,00,
166174000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166174000,000003F8,false,0,8,A4,02,9A,02,92,02,96,02,
166174000,00000402,false,0,2,10,00,00,00,00,00,00,00,
166174000,00000318,false,0,8,7B,78,7F,14,62,00,00,00,
166174000,0000029C,false,0,8,00,08,00,00,87,01,00,14,
166174000,00000228,false,0,4,40,C0,E0,00,00,00,00,00,
166174000,0000029C,false,0,8,00,08,00,00,87,01,00,14,
166174000,000002DC,false,0,8,00,00,00,00,00,00,00,00,
166174000,00000358,false,0,8,04,07,50,01,F0,00,00,30,
166174000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166174000,00000106,false,0,8,00,20,00,00,FF,FF,00,25,
166174000,000003FC,false,0,8,00,00,00,00,00,00,00,00,
166174000,00000116,false,0,6,00,10,F4,11,89,B5,00,00,
166174000,0000026A,false,0,3,FA,01,00,00,00,00,00,00,
166184000,0000000E,false,0,8,20,6F,3F,FF,08,FF,E0,D2,
166184000,00000228,false,0,4,40,C0,F0,CD,00,00,00,00,
166184000,000003CC,false,0,8,00,00,00,00,00,00,00,00,
166184000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166184000,00000106,false,0,8,00,40,00,00,FF,FF,00,45,
166184000,00000116,false,0,6,00,10,F4,11,8A,B6,00,00,
166184000,00000102,false,0,6,16,96,E0,FF,99,FF,00,00,
166184000,00000126,false,0,7,02,03,00,00,00,48,09,00,
166194000,00000108,false,0,4,00,00,05,1B,00,00,00,00,
166194000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
166194000,00000154,false,0,8,04,07,14,00,00,F1,00,78,
166194000,000001F8,false,0,8,01,EF,F0,16,D3,57,00,00,
166194000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166194000,00000368,false,0,8,00,5A,1F,00,00,08,00,FF,
166194000,00000228,false,0,4,40,C0,00,B2,00,00,00,00,
166194000,000003DC,false,0,8,00,00,00,00,00,00,00,00,
166194000,00000754,false,0,8,65,FD,FF,00,00,00,00,00,
166194000,00000106,false,0,8,00,60,00,00,FF,FF,00,65,
166194000,00000754,false,0,8,65,FD,FF,00,00,00,00,00,
166194000,00000116,false,0,6,00,10,F4,11,8B,B7,00,00,
166194000,00000102,false,0,6,15,96,E1,FF,BB,FF,00,00,
166194000,00000754,false,0,8,67,00,91,00,00,00,00,00,
166194000,00000754,false,0,8,66,00,00,00,00,00,00,00,
166204000,00000754,false,0,8,64,00,00,00,00,00,00,00,
166204000,00000754,false,0,8,0A,00,00,00,00,00,00,00,
166204000,0000020C,false,0,8,00,00,00,00,00,00,F0,00,
166204000,0000000E,false,0,8,20,6F,3F,FF,08,FF,00,60,
166204000,0000040C,false,0,1,00,00,00,00,00,00,00,00,
166204000,0000022C,false,0,8,00,00,2F,8F,00,00,D6,CE,
166204000,0000023C,false,0,8,3F,40,41,78,7E,64,00,00,
166204000,00000228,false,0,4,40,C0,10,7F,00,00,00,00,
166204000,00000248,false,0,7,30,30,1D,8C,01,15,00,00,
166204000,0000024C,false,0,8,AB,7D,00,00,00,00,00,00,
166204000,000003AC,false,0,8,00,00,00,00,00,00,00,00,
166204000,00000106,false,0,8,00,80,F1,00,14,13,E8,09,
166204000,00000106,false,0,8,00,80,00,00,FF,FF,00,85,
166204000,0000071C,false,0,8,16,00,00,00,00,00,00,00,
166204000,00000116,false,0,6,00,10,F4,11,8C,B8,00,00,
166204000,00000102,false,0,6,21,96,DD,FF,D4,FF,00,00,
166214000,0000000E,false,0,8,20,6F,3F,FF,08,FF,10,AD,
166214000,0000020E,false,0,8,88,10,00,13,BB,00,06,00,
166214000,0000033E,false,0,8,00,00,00,00,00,00,00,00,
166214000,00000108,false,0,4,00,00,F1,00,00,00,00,00,
166214000,00000106,false,0,8,00,A0,00,00,FF,F1,00,BA,
166214000,000001F8,false,0,8,01,EF,F0,26,D3,67,00,00,
166214000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166214000,00000228,false,0,4,40,C0,20,35,00,00,00,00,
166214000,000003BC,false,0,8,00,55,55,55,01,00,00,00,
166214000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166214000,000002C8,false,0,8,6E,80,03,7B,00,00,70,A6,
166214000,00000116,false,0,6,00,10,F4,11,8D,B9,00,00,
166214000,000002C8,false,0,8,6E,80,03,7B,00,00,70,A6,
166214000,00000102,false,0,6,21,96,D6,FF,D0,FF,00,00,
166224000,0000000E,false,0,8,20,6F,3F,FF,08,FF,20,E7,
166224000,00000228,false,0,4,40,C0,30,F8,00,00,00,00,
166224000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166224000,00000106,false,0,8,00,C0,00,00,FF,FF,00,C5,
166224000,00000116,false,0,6,00,10,F4,11,8E,BA,00,00,
166224000,00000408,false,0,1,90,00,00,00,00,00,00,00,
166224000,000003D8,false,0,3,86,06,00,00,00,00,00,00,
166224000,00000408,false,0,1,90,00,00,00,00,00,00,00,
166234000,0000000E,false,0,8,20,6F,3F,FF,08,FF,30,2A,
166234000,00000278,false,0,8,12,00,40,02,04,00,70,CE,
166234000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
166234000,00000108,false,0,4,00,00,07,1D,00,00,00,00,
166234000,00000168,false,0,8,A9,0C,1C,7F,00,00,70,26,
166234000,000001F8,false,0,8,01,EF,F0,35,D2,77,00,00,
166234000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166234000,00000228,false,0,4,40,C0,40,A1,00,00,00,00,
166234000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166234000,00000106,false,0,8,00,E0,00,00,FF,FF,00,E5,
166234000,00000256,false,0,8,81,02,00,30,00,70,00,7B,
166234000,00000116,false,0,6,00,10,F4,11,8F,BB,00,00,
166234000,00000102,false,0,6,08,96,D2,FF,9C,FF,00,00,
166234000,00000266,false,0,8,85,04,00,00,00,70,0A,4B,
166244000,0000000E,false,0,8,20,6F,3F,FF,08,FF,40,73,
166244000,0000025C,false,0,8,01,02,26,9A,69,00,53,04,
166244000,00000228,false,0,4,40,C0,50,6C,00,00,00,00,
166244000,0000025C,false,0,8,01,02,26,9A,69,00,53,04,
166244000,00000238,false,0,8,00,FF,00,00,00,00,B1,72,
166244000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166244000,00000106,false,0,8,00,00,00,00,FF,FF,00,05,
166244000,00000116,false,0,6,00,10,F4,11,80,AC,00,00,
166244000,00000102,false,0,6,23,96,D8,FF,9C,FF,00,00,
166254000,00000338,false,0,8,D6,00,F7,00,27,01,54,54,
166254000,0000030A,false,0,8,00,01,7C,B3,02,41,00,17,
166254000,0000028A,false,0,8,0A,00,FF,1F,00,01,00,00,
166254000,000001F8,false,0,8,01,EF,F0,46,D3,87,00,00,
166254000,000003EA,false,0,8,01,00,00,00,FE,00,00,08,
166254000,0000065A,false,0,8,0D,00,00,00,D3,64,00,00,
166254000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
166254000,00000108,false,0,4,00,00,08,1E,00,00,00,00,
166254000,0000048A,false,0,8,00,00,00,00,00,00,00,00,
166254000,00000168,false,0,8,A9,0C,1C,7F,00,00,80,36,
166254000,00000228,false,0,4,40,C0,60,26,00,00,00,00,
166254000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166254000,00000228,false,0,4,40,C0,60,26,00,00,00,00,
166254000,00000125,false,0,4,FF,02,33,0C,00,00,00,00,
166254000,00000138,false,0,5,00,1C,52,00,00,00,00,00,
166254000,00000154,false,0,8,04,17,14,00,00,00,00,00,
166254000,00000106,false,0,8,00,20,00,00,FF,FF,00,25,
166254000,00000116,false,0,6,00,90,F4,11,91,3D,00,00,
166254000,00000102,false,0,6,0A,96,DD,FF,9E,FF,00,00,
166264000,0000021A,false,0,8,FE,36,12,FE,69,05,07,AD,
166264000,0000023A,false,0,8,00,38,00,12,00,00,00,00,
166264000,00000228,false,0,4,40,C0,70,EB,00,00,00,00,
166264000,0000022A,false,0,8,67,01,5E,1D,00,00,00,00,
166264000,0000027A,false,0,7,30,30,0D,8C,09,15,00,00,
166264000,0000024A,false,0,8,FE,FE,FE,FE,FE,FE,FE,14,
166264000,0000029A,false,0,8,01,36,FE,00,00,00,00,00,
166264000,00000210,false,0,7,00,00,E3,1B,1D,86,FF,00,
166264000,0000000E,false,0,8,20,6E,3F,FF,08,FF,60,B2,
166264000,000002AC,false,0,8,11,00,23,90,00,F1,00,4D,
166264000,0000048C,false,0,1,00,00,00,00,00,00,00,00,
166264000,000002BC,false,0,8,3F,40,41,78,7E,64,00,00,
166264000,00000154,false,0,8,04,17,14,00,00,00,00,00,
166264000,00000106,false,0,8,00,40,00,00,FF,FF,00,45,
166264000,000002CC,false,0,8,AB,7D,00,00,00,00,00,00,
166264000,00000116,false,0,6,00,90,F4,11,92,3E,00,00,
166264000,00000102,false,0,6,0A,96,E1,FF,9E,FF,00,00,
166264000,0000048C,false,0,1,00,00,00,00,00,00,00,00,
166264000,000005BC,false,0,8,0A,01,12,00,09,00,06,00,
166264000,0000079C,false,0,8,04,00,00,00,00,00,00,00,
166274000,0000020A,false,0,8,00,01,01,82,21,3F,11,11,
166274000,000003A8,false,0,8,30,30,31,00,03,00,00,00,
166274000,00000258,false,0,8,2F,C8,36,D8,46,05,00,8F,
166274000,00000202,false,0,8,FD,5E,45,9D,C4,09,1E,2D,
166274000,000006F2,false,0,8,02,45,F3,D0,8C,34,2F,CD,
166274000,00000212,false,0,5,D8,00,12,71,00,00,00,00,
166274000,000002A2,false,0,7,00,00,11,96,00,10,70,00,
166274000,00000222,false,0,7,00,00,11,96,00,10,70,00,
166274000,000001F8,false,0,8,01,EF,F0,56,D3,97,00,00,
166274000,00000402,false,0,2,10,00,00,00,00,00,00,00,
166274000,000003A2,false,0,8,FF,0F,FF,0F,00,00,00,32,
166274000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
166274000,00000108,false,0,4,00,00,09,1F,00,00,00,00,
166274000,00000168,false,0,8,A8,0C,1C,7F,00,00,90,45,
166274000,00000358,false,0,8,04,07,50,01,F0,00,00,30,
166274000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166274000,00000358,false,0,8,04,07,50,01,F0,00,00,30,
166274000,00000228,false,0,4,40,C0,80,94,00,00,00,00,
166274000,0000029C,false,0,8,00,08,00,00,87,01,00,14,
166274000,000002DC,false,0,8,00,00,00,00,00,00,00,00,
166274000,00000154,false,0,8,04,17,14,00,00,00,00,00,
166274000,00000106,false,0,8,00,60,00,00,FF,FF,00,65,
166274000,00000116,false,0,6,00,90,F4,11,93,3F,00,00,
166274000,00000102,false,0,6,15,96,DF,FF,D1,FF,00,00,
166274000,0000026A,false,0,3,FA,01,00,00,00,00,00,00,
166284000,0000000E,false,0,8,20,6E,3F,FF,08,FF,80,00,
166284000,00000228,false,0,4,40,C0,90,59,00,00,00,00,
166284000,00000154,false,0,8,04,17,14,00,00,00,00,00,
166284000,00000106,false,0,8,00,80,00,00,FF,FF,00,85,
166284000,00000116,false,0,6,00,90,F4,11,94,40,00,00,
166284000,00000126,false,0,7,02,03,00,00,00,48,09,00,
166284000,00000102,false,0,6,21,96,D8,FF,D3,FF,00,00,
166294000,00000108,false,0,4,00,00,0A,20,00,00,00,00,
166294000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
166294000,00000154,false,0,8,04,17,14,00,00,F1,00,18,
166294000,000001F8,false,0,8,01,EF,F0,66,D3,A7,00,00,
166294000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166294000,00000368,false,0,8,00,5A,1F,00,00,08,00,FF,
166294000,00000228,false,0,4,40,C0,A0,13,00,00,00,00,
166294000,00000106,false,0,8,00,A0,00,00,FF,FF,00,A5,
166294000,00000754,false,0,8,65,FD,FF,00,00,00,00,00,
166294000,00000116,false,0,6,00,90,F4,11,95,41,00,00,
166294000,00000754,false,0,8,65,FD,FF,00,00,00,00,00,
166294000,00000102,false,0,6,20,96,D0,FF,D0,FF,00,00,
166294000,00000754,false,0,8,67,00,95,00,00,00,00,00,
166294000,00000754,false,0,8,66,00,00,00,00,00,00,00,
166304000,00000754,false,0,8,64,00,00,00,00,00,00,00,
166304000,00000754,false,0,8,0A,00,00,00,00,00,00,00,
166304000,00000268,false,0,8,55,00,1D,02,BD,07,36,00,
166304000,00000388,false,0,8,38,38,4C,47,5A,4E,00,00,
166304000,0000062A,false,0,8,A0,00,00,00,00,00,00,63,
166304000,0000040C,false,0,1,00,00,00,00,00,00,00,00,
166304000,0000020C,false,0,8,00,00,00,00,00,00,F0,00,
166304000,0000022C,false,0,8,00,00,1B,8F,00,00,D6,CE,
166304000,0000023C,false,0,8,3F,40,41,78,7E,64,00,00,
166304000,00000228,false,0,4,40,C0,B0,DE,00,00,00,00,
166304000,00000248,false,0,7,30,30,1D,8C,01,15,00,00,
166304000,0000024C,false,0,8,AB,7D,00,00,00,00,00,00,
166304000,00000154,false,0,8,04,17,F1,00,DA,99,E9,09,
166304000,00000154,false,0,8,04,17,14,00,00,00,00,00,
166304000,00000106,false,0,8,00,C0,00,00,FF,FF,00,C5,
