ID,Data Bytes
00000754,0A 00 00 00 00 00 00 00 
00000754,64 00 00 00 00 00 00 00 
00000228,40 C0 50 6C 
00000268,55 00 3C 02 BD 07 36 00 
0000000E,20 6A 3F FF 08 FF 40 30 
0000036C,00 00 00 00 00 00 00 00 
0000020C,00 00 00 00 00 00 F0 00 
0000022C,00 00 17 8F 00 00 D6 CE 
0000023C,3F 40 41 78 7E 64 00 00 
00000398,55 53 00 00 00 F1 00 30 
00000116,00 90 F4 11 90 3C 
0000040C,00 
00000154,04 17 14 00 00 00 00 00 
00000248,30 30 1D 8C 01 15 00 
00000106,00 00 00 00 FF FF 00 05 
0000051C,01 00 00 00 FE 00 00 09 
00000102,16 96 DC FF 98 FF 
00000116,00 90 F4 11 90 3C 
0000071C,03 00 00 00 00 00 00 00 
000002A8,00 00 00 00 00 00 00 1B 
0000020E,88 10 00 13 BB 00 06 00 
0000040E,00 
00000288,00 00 00 00 00 1B 00 00 
00000108,00 00 00 16 
00000168,B1 0C 1C 7F 00 00 00 BE 
000001F8,01 EF F0 C6 D3 07 00 00 
000002C8,6E 80 03 7B 00 00 90 C6 
0000037C,00 00 00 00 00 00 00 00 
000002C8,6E 80 03 7B 00 00 90 C6 
00000228,40 C0 60 26 
00000154,04 17 14 00 00 00 00 00 
00000106,00 20 00 00 FF FF 00 25 
00000116,00 90 F4 11 91 3D 
00000102,09 96 E1 FF 9E FF 
0000000E,20 6A 3F FF 08 FF 60 B7 
00000228,40 C0 70 EB 
000003D8,86 06 00 
00000228,40 C0 70 EB 
00000408,B0 
00000154,04 17 14 00 00 00 00 00 
00000106,00 40 00 00 FF FF 00 45 
00000116,00 90 F4 11 92 3E 
00000102,24 96 DE FF D0 FF 
0000000E,20 6A 3F FF 08 FF 70 7A 
00000108,00 00 01 17 
00000288,00 00 00 00 00 1B 00 00 
00000106,00 60 00 00 FF F1 00 04 
000001F8,01 EF F0 D6 D3 17 00 00 
000002A8,00 00 00 00 00 00 00 1B 
0000035C,00 00 00 00 00 00 00 00 
00000228,40 C0 80 94 
00000154,04 17 14 00 00 00 00 00 
00000116,00 90 F4 11 93 3F 
00000256,81 02 00 30 00 90 00 9B 
00000116,00 90 F4 11 93 3F 
00000102,2E 96 D8 FF CF FF 
00000266,85 04 00 00 00 70 0A 4B 
0000000E,20 6B 3F FF 08 FF 80 43 
0000032C,00 00 00 00 00 00 00 00 
0000021C,00 08 00 00 86 01 00 14 
00000228,40 C0 90 59 
00000106,00 80 00 00 FF FF 00 85 
00000154,04 17 14 00 00 00 00 00 
00000106,00 80 00 00 FF FF 00 85 
00000116,00 90 F4 11 94 40 
00000102,23 96 D0 FF CC FF 
00000238,00 FF 00 00 00 00 D1 E6 
0000000E,20 6B 3F FF 08 FF 90 8E 
0000028A,0A 00 FF 1F 00 01 00 00 
0000032A,17 17 12 00 64 00 1B 00 
00000108,00 00 02 18 
00000288,00 00 00 00 00 1B 00 00 
00000138,00 1E 54 00 00 
000001F8,01 EF F0 E6 D3 27 00 00 
000002A8,00 00 00 00 00 00 00 1B 
0000033C,00 55 55 55 01 00 00 00 
00000228,40 C0 A0 13 
00000125,FF 02 35 0E 
00000106,00 A0 00 00 FF FF F1 00 
00000106,00 A0 00 00 FF FF 00 A5 
00000116,00 90 F4 11 95 41 
00000102,0A 96 D0 FF 95 FF 
0000025A,00 00 00 00 00 00 00 00 
0000023A,00 38 00 12 00 00 00 00 
0000021A,FE 36 13 FE 69 05 07 AD 
0000022A,67 01 5E 1D 00 00 00 00 
00000210,00 00 E3 1D 1F 86 FF 
0000029A,01 36 FE 00 00 00 00 00 
00000154,04 17 14 00 00 00 00 00 
00000228,40 C0 B0 DE 
0000028C,00 00 00 00 00 00 F0 00 
000002AC,0C 00 28 90 00 00 D6 CE 
000002BC,3F 40 41 78 7E 64 00 00 
00000106,00 C0 00 00 FF FF 00 C5 
000002CC,AB 7D 00 00 00 00 00 00 
00000116,00 90 F4 11 96 42 
000002CC,AB 7D 00 00 00 00 00 00 
00000102,08 96 D4 FF 96 FF 
000003A8,30 30 31 00 03 00 00 00 
0000048C,00 
00000258,2F C8 36 D8 46 05 00 8F 
0000020A,00 01 01 82 41 40 11 11 
0000079C,06 00 48 00 04 00 00 40 
00000212,D8 00 12 71 00 
000006F2,04 4D B3 D3 FC 34 2B CD 
00000288,00 00 00 00 00 1B F1 00 
00000222,00 00 13 96 00 10 70 
000002A2,00 00 13 96 00 10 70 
00000232,05 24 68 82 
00000402,10 00 
000003A2,FF 0F FF 0F 00 00 00 32 
00000168,B5 0C 1C 7F 00 00 30 F2 
00000108,00 00 03 19 
00000168,B5 0C 1C 7F 00 00 30 F2 
000001F8,01 EF F0 F6 D3 37 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000358,04 07 50 01 F0 00 00 30 
00000228,40 C0 C0 87 
0000029C,00 08 00 00 87 01 00 14 
000002DC,00 00 00 00 00 00 00 00 
00000154,04 17 14 00 00 00 00 00 
00000106,00 E0 00 00 FF FF 00 E5 
00000116,00 90 F4 11 97 43 
00000102,09 96 D9 FF 98 FF 
0000026A,FA 01 00 
0000000E,20 6B 3F FF 08 FF C0 50 
00000228,40 C0 D0 4A 
00000106,00 00 00 00 FF FF 00 05 
00000154,04 17 14 00 00 00 00 00 
00000102,16 96 E1 FF 96 FF 
00000126,02 03 00 00 00 48 09 
00000102,16 96 E1 FF 96 FF 
0000000E,20 6B 3F FF 08 FF D0 9D 
00000288,00 00 00 00 00 1B 00 00 
00000108,00 00 04 1A 
00000168,B6 0C 1C 7F 00 00 40 03 
000001F8,01 EF F0 07 D4 47 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000754,65 FD FF 00 00 F1 00 88 
00000754,65 FD FF 00 00 00 00 00 
00000106,00 20 00 00 FF FF 00 25 
00000116,00 90 F4 11 99 45 
00000102,15 96 DF FF CD FF 
00000368,00 5A 1F 00 00 08 00 FF 
0000000E,20 6B 3F FF 08 FF E0 D7 
00000268,55 00 1D 02 BD 07 36 00 
0000023C,3F 40 41 78 7E 64 00 00 
0000022C,00 00 16 8F 00 00 D6 CE 
00000154,04 17 14 00 00 00 00 00 
00000228,40 C0 F0 CD 
0000024C,AB 7D 00 00 00 00 00 00 
0000040C,00 
0000053C,0A 01 12 00 09 00 06 00 
0000071C,04 00 00 00 00 00 00 00 
00000106,00 40 00 00 FF FF 00 45 
00000248,30 30 1D 8C 01 15 00 
00000116,00 90 F4 11 9A 46 
00000248,30 30 1D 8C 01 15 00 
00000102,15 96 DA FF D0 FF 
00000754,67 00 95 00 00 00 00 00 
00000754,66 00 00 00 00 00 00 00 
00000754,64 00 00 00 00 00 00 00 
00000754,0A 00 00 00 00 00 00 00 
0000000E,20 6B 3F FF 08 FF F0 1A 
00000288,00 00 00 00 00 1B 00 00 
0000040E,00 
00000106,00 60 00 00 FF FF 00 65 
00000108,00 00 05 1B 
00000168,B7 0C 1C 7F 00 00 50 14 
000001F8,01 EF F0 16 D3 57 00 00 
000002A8,00 00 00 00 00 00 00 1B 
00000228,40 C0 00 B2 
00000154,04 17 14 00 00 00 00 00 
000002C8,6E 80 03 7B 00 00 A0 D6 
